configuration,group,sources,n_sources,n_features,n_trees,fit_seconds,matrix_mb,roc_auc,pr_auc,log_loss,brier,brier_skill,ece,calibration_slope,wall_seconds
M0_application,sequential,application,0,120,1380,30.0,117.3,0.7546842934812982,0.2379501621202162,0.2471745094112423,0.0680835467506748,0.0825722812234384,0.0034988812802201,0.9734496313632462,32.2
M1_+bureau,sequential,bureau,1,169,1380,83.2,155.9,0.7647715024405862,0.2510484318906156,0.2442815983981274,0.0674718655026123,0.0908147033475883,0.0044516609185003,0.9878532751598198,86.8
M2_+previous,sequential,bureau+previous,2,211,1380,67.7,188.9,0.7742017636611265,0.2645094651968481,0.2414731433952981,0.0668967094394955,0.098564947571175,0.0062473892595693,0.9925079653604992,72.0
M3_+installments,sequential,bureau+previous+installments,3,237,1380,76.4,209.4,0.7823134815697502,0.2731970336894145,0.2389577657405315,0.0663891610134729,0.105404176972072,0.0055384851122164,0.9996336842520364,79.8
M4_+credit_card,sequential,bureau+previous+installments+credit_card,4,271,1380,79.7,236.2,0.7835499947788399,0.2731514821861697,0.238691912310704,0.0663709342050296,0.1056497837315434,0.0060552153160171,0.9893682339155164,83.3
M5_+pos,sequential,bureau+previous+installments+credit_card+pos,5,291,1380,75.6,251.9,0.7855725208005897,0.2760263730381497,0.2379466915679798,0.0661865676950305,0.1081341276701255,0.0050944127305795,0.994287379145366,78.9
S_previous,single,previous,1,162,1380,47.3,150.4,0.7667583876434176,0.252395860215127,0.2437646415701177,0.0674015030803813,0.0917628389779394,0.0046262141148191,0.9791636749984608,49.6
S_installments,single,installments,1,146,1380,36.4,137.8,0.767205064013204,0.2513523113577312,0.2437721419695948,0.0674442397578349,0.0911869610400886,0.004446385485119,0.9764547603584744,38.5
S_credit_card,single,credit_card,1,154,1380,42.8,144.1,0.7597665139505168,0.243443280564043,0.2458327663727184,0.0678156759999513,0.0861818471683961,0.0038652407949826,0.9686781387705802,45.2
S_pos,single,pos,1,140,1380,54.0,133.1,0.7636920248059653,0.2512045211252121,0.2444671419738107,0.0674995850016193,0.0904411823141907,0.0047437566114336,0.9724383025948384,56.4
L-bureau,leave-one-out,previous+installments+credit_card+pos,4,242,1380,87.0,213.4,0.7796594790551326,0.2646163184604578,0.2400729811931729,0.0667054820799865,0.1011417416510206,0.0051910566891034,0.979979563564172,91.0
L-previous,leave-one-out,bureau+installments+credit_card+pos,4,249,1380,60.3,218.9,0.7817900964500787,0.2711155267173571,0.2391864405488402,0.0664612595574162,0.1044326470525266,0.0059240808265174,0.9883338667505056,66.8
L-installments,leave-one-out,bureau+previous+credit_card+pos,4,265,1380,68.2,231.5,0.7796869151938877,0.270776349682187,0.2397114095386308,0.0665049212172065,0.1038443049515192,0.0065261537945244,0.987092307473197,72.9
L-credit_card,leave-one-out,bureau+previous+installments+pos,4,257,1380,55.4,225.2,0.7835292158975309,0.2728823105245236,0.2386839117076929,0.066356658943672,0.1058421432822315,0.0052872129065585,0.9953215292903278,60.4
