feature,source,family,description,aggregation,count_like,leakage_assessment
bureau__credit_count,bureau,counts,number of external credits reported,count,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__active_count,bureau,counts,credits with CREDIT_ACTIVE == Active,count,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__closed_count,bureau,counts,credits with CREDIT_ACTIVE == Closed,count,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__sold_or_bad_count,bureau,counts,credits Sold or Bad debt,count,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__active_ratio,bureau,counts,active credits / all credits,ratio,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__n_credit_types,bureau,counts,distinct CREDIT_TYPE values,nunique,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__consumer_count,bureau,credit types,Consumer credit records,count,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__credit_card_count,bureau,credit types,Credit card records,count,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__car_loan_count,bureau,credit types,Car loan records,count,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__mortgage_count,bureau,credit types,Mortgage records,count,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__microloan_count,bureau,credit types,Microloan records,count,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__other_type_count,bureau,credit types,records of any other credit type,count,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__credits_last_year,bureau,recency,credits opened in the last 365 days,count,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__credit_sum_total,bureau,amounts,sum of AMT_CREDIT_SUM (current credit amounts),sum,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__credit_sum_mean,bureau,amounts,mean AMT_CREDIT_SUM,mean,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__credit_sum_max,bureau,amounts,max AMT_CREDIT_SUM,max,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__debt_sum_total,bureau,amounts,sum of AMT_CREDIT_SUM_DEBT (negatives clipped to 0),sum,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__debt_sum_mean,bureau,amounts,mean AMT_CREDIT_SUM_DEBT,mean,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__debt_sum_max,bureau,amounts,max AMT_CREDIT_SUM_DEBT,max,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
